"INCIDENT NUMBER","CRASH DATE","STREET ADDRESS","CITY","STATE","INTERSECTING STREET","DISTRICT","ZONE","CRASH OCCURRED ON","TYPE OF ROADWAY","ROAD SURFACE","ROADWAY CONDITION","WEATHER CONDITION","LIGHTING CONDITION","INJURY","FATALITY","HIT AND RUN","PEDESTRIAN INVOLVED","TRAIN INVOLVED","INTERSECTION","TOTAL VEHICLES","VEHICLE ALIGNMENT","RELATION TO ROADWAY","MANNER OF COLLISION","PRIMARY FACTOR","SECONDARY FACTOR","LATITUDE","LONGITUDE","GEOMETRY"
"23-111484","2023 Nov 05 01:00:00 AM","4300 LORRAINE ST","Baton Rouge","LA","LEMONWOOD","5","4F-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Not a collision between two motor vehicles in transport","Violations","Not applicable","30.496494538633","-91.146766342468","POINT (-91.1467723 30.4965)"
"23-111468","2023 Nov 05 01:00:00 AM","5946 AIRLINE HWY","Baton Rouge","LA","GREENWELL","5","4F-2","Off road/private property","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","false","1","Straight","Off roadway, location unknown","Not a collision between two motor vehicles in transport","Movement prior to crash","Not applicable","30.5014789156579","-91.131343102602","POINT (-91.131349 30.5014844)"
"23-111379","2023 Nov 05 01:00:00 AM","10100 S CHOCTAW DR","Baton Rouge","LA","SAN CLEMENTE","6","3B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4720419989117","-91.0726497584359","POINT (-91.0726557 30.4720475)"
"23-111406","2023 Nov 05 01:00:00 AM","15600 W I-10 HWY","Baton Rouge","LA","I-110","10","2D-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","1","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.4354231943765","-91.1773308955184","POINT (-91.1773368 30.4354287)"
"23-111317","2023 Nov 05 01:00:00 AM","300 SAINT LOUIS ST","Baton Rouge","LA","GOVERNMENT","10","5A-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Driver condition","Not applicable","30.4433269578541","-91.1874981997534","POINT (-91.1875041 30.4433324)"
"23-111302","2023 Nov 05 01:00:00 AM","1900 POCAHONTAS ST","Baton Rouge","LA","SHAWNEE","10","1B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","true","2","Straight","On roadway","Backing - rear to side","Violations","Movement prior to crash","30.46552392673","-91.1669840676829","POINT (-91.16699 30.4655294)"
"23-111241","2023 Nov 05 01:00:00 AM","11300 S FLORIDA SERVICE RD","Baton Rouge","LA","LITTLE JOHN","6","3E-3","US highway","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","1","Straight","Roadside","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4586579644043","-91.0579748590899","POINT (-91.0579808 30.4586635)"
"23-110839","2023 Nov 04 01:00:00 AM","9100 S CHOCTAW DR","Baton Rouge","LA","MONTERREY","6","3B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4717285305287","-91.08474811451","POINT (-91.084754 30.471734)"
"23-110911","2023 Nov 04 01:00:00 AM","5504 PLANK RD","Baton Rouge","LA","HOLLYWOOD","5","4F-1","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","In parking lane or zone","Backing - rear to front","Violations","Movement prior to crash","30.4995553046831","-91.1529727765762","POINT (-91.1529787 30.4995608)"
"23-110932","2023 Nov 04 01:00:00 AM","805 W INTERSTATE 12 HWY","Baton Rouge","LA","ONEAL","9","3F-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4436927711476","-91.0028666289066","POINT (-91.0028725 30.4436983)"
"23-110853","2023 Nov 04 01:00:00 AM","I-10","Baton Rouge","LA","DALRYMPLE","12","2D-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","0","0","1","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Not applicable","30.4268426797669","-91.1675800265685","POINT (-91.167586 30.4268482)"
"23-110934","2023 Nov 04 01:00:00 AM","US 190","Baton Rouge","LA","O'NEAL LN","4","3D-3","US highway","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","true","2","Straight","On roadway","Sideswipe - same direction","Violations","Violations","30.4663900792821","-91.0100642089856","POINT (-91.0100701 30.4663956)"
"23-111049","2023 Nov 04 01:00:00 AM","12800 S FLANNERY RD","Baton Rouge","LA","OLD HAMMOND","4","3E-4","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - right into flow","Violations","Movement prior to crash","30.4466405952393","-91.0345975194502","POINT (-91.0346034 30.4466461)"
"23-111075","2023 Nov 04 01:00:00 AM","9100 AIRLINE BLVD","Baton Rouge","LA","GOODWOOD","6","3C-2","City street","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","true","3","Straight","On roadway","Angle - perpendicular/other angle","Violations","Violations","30.4432055243116","-91.0887915322295","POINT (-91.0887974 30.443211)"
"23-110948","2023 Nov 04 01:00:00 AM","3800 MOHICAN ST","Baton Rouge","LA","DELAWARE","7","4G-2","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4846895699705","-91.1497916489876","POINT (-91.1497976 30.4846951)"
"23-110961","2023 Nov 04 01:00:00 AM","6046 AIRLINE HWY","Baton Rouge","LA","GREENWELL","2","4C-1","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Unknown","Movement prior to crash","Movement prior to crash","30.5118821222237","-91.159198154042","POINT (-91.1592041 30.5118876)"
"23-110938","2023 Nov 04 01:00:00 AM","900 MAIN ST","Baton Rouge","LA","N 9TH","10","1A-2","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Not applicable","30.4516443655516","-91.1808596675931","POINT (-91.1808656 30.4516499)"
"23-111159","2023 Nov 04 01:00:00 AM","8100 FLORIDA BLVD","Baton Rouge","LA","WOODDALE","6","1D-2","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","3","Straight","On roadway","Front to rear - rear end","Driver condition","Violations","30.4520374582688","-91.1039902963232","POINT (-91.1039962 30.4520429)"
"23-110917","2023 Nov 04 01:00:00 AM","4747 SHERWOOD FOREST BLVD","Baton Rouge","LA","COURSEY","8","3F-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","0","0","0","1","0","false","1","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Movement prior to crash","Violations","30.4110224881804","-91.051270664957","POINT (-91.0512766 30.411028)"
"23-110925","2023 Nov 04 01:00:00 AM","9526 CORTANA PL","Baton Rouge","LA","FLORIDA","6","3B-1","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Unknown",,"Unknown","Unknown","1","0","1","0","0","false","2","Straight","Off roadway, location unknown","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4591495774575","-91.0972821009818","POINT (-91.097288 30.4591551)"
"23-110869","2023 Nov 04 01:00:00 AM","11612 W SHERWOOD MEADOW AVE","Baton Rouge","LA","SHERWOOD MEADOW","8","3E-5","Off road/private property","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","Outside road/right-of-way","Backing - rear to rear","Driver condition","Movement prior to crash","30.4350407716627","-91.0529044109424","POINT (-91.0529103 30.4350463)"
"23-110941","2023 Nov 04 01:00:00 AM","2400 S SHERWOOD FOREST BLVD","Baton Rouge","LA","W INTERSTATE 12","6","3E-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","1","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4313807435882","-91.0570794354627","POINT (-91.0570853 30.4313862)"
"23-110926","2023 Nov 04 01:00:00 AM","200 INTERSTATE 110 HWY","Baton Rouge","LA","EXIT 1 A","10","1A-3","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4577209967901","-91.1719632424661","POINT (-91.1719692 30.4577265)"
"23-110999","2023 Nov 04 01:00:00 AM","3535 PERKINS RD","Baton Rouge","LA","S ACADIAN THWY","12","2B-1","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","Off roadway, location unknown","Backing - rear to side","Violations","Movement prior to crash","30.423197607455","-91.154034246553","POINT (-91.1540402 30.4232031)"
"23-111068","2023 Nov 04 01:00:00 AM","22 INTERSTATE 10 HWY","Baton Rouge","LA","GOVERNMENT","7","2B-1","Interstate","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Not applicable","30.4245987641443","-91.1499873762607","POINT (-91.1499933 30.4246042)"
"23-111139","2023 Nov 04 01:00:00 AM","280 EAST I-12 HWY","Baton Rouge","LA","AIRLINE","8","3C-3","Interstate","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Vision obstructions","Movement prior to crash","30.4270872307686","-91.0671914810905","POINT (-91.0671974 30.4270927)"
"23-110981","2023 Nov 04 01:00:00 AM","9830 OLD HAMMOND  HWY","Baton Rouge","LA","AIRLINE","6","3C-3","Off road/private property","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","Off roadway, location unknown","Backing - rear to side","Violations","Violations","30.4315236925147","-91.0803385856123","POINT (-91.0803445 30.4315292)"
"23-111010","2023 Nov 04 01:00:00 AM","10441 N MALL  DR","Baton Rouge","LA","N MALL ACCESS","11","2F-2","Off road/private property","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","In parking lane or zone","Sideswipe - same direction","Violations","Movement prior to crash","30.3774350475728","-91.0640904529978","POINT (-91.0640964 30.3774405)"
"23-111162","2023 Nov 04 01:00:00 AM","1800 SHERWOOD FOREST BLVD","Baton Rouge","LA","OLD HAMMOND HWY","6","3E-1","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - street lights at intersection only","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Not applicable","30.4369981765959","-91.0574809115903","POINT (-91.0574868 30.4370037)"
"23-110936","2023 Nov 04 01:00:00 AM","2800 US 61 BUS","Baton Rouge","LA","ATKINSON","10","1B-1","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.4501529308857","-91.1599732324868","POINT (-91.1599792 30.4501584)"
"23-110893","2023 Nov 04 01:00:00 AM","5000 HIEDEL  AVE","Baton Rouge","LA","E. BROOKSTOWN","2","4C-1","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","1","Straight","Off roadway, location unknown","Not a collision between two motor vehicles in transport","Movement prior to crash","Violations","30.5118821222237","-91.159198154042","POINT (-91.1592041 30.5118876)"
"23-113148","2023 Nov 04 01:00:00 AM","2200 S SHERWOOD FOREST BLVD","Baton Rouge","LA","N HARRELLS FERRY","6","3E-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Movement prior to crash","Violations","30.4328099026255","-91.0574513856454","POINT (-91.0574573 30.4328154)"
"23-111360","2023 Nov 04 01:00:00 AM","3000 S SHERWOOD FOREST BLVD","Baton Rouge","LA","JUSTICE","8","3F-2","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Curve Left","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4239123062403","-91.0515168932755","POINT (-91.0515228 30.4239178)"
"23-110962","2023 Nov 04 01:00:00 AM","LOUISE ST","Baton Rouge","LA","GOVERNMENT","10","2D-1","Interstate","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Violations","30.434295199066","-91.1766090414716","POINT (-91.176615 30.4343007)"
"23-110860","2023 Nov 04 01:00:00 AM","8500 S CHOCTAW DR","Baton Rouge","LA","SOUTER","6","3B-1","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","true","2","Straight","On roadway","Sideswipe - opposite direction","Violations","Movement prior to crash","30.4714071980202","-91.0964184054919","POINT (-91.0964243 30.4714127)"
"23-110953","2023 Nov 04 01:00:00 AM","I-10 HWY","Baton Rouge","LA","LOUISE","10","2D-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Movement prior to crash","30.4344950099692","-91.1766970182841","POINT (-91.176703 30.4345005)"
"23-110892","2023 Nov 04 01:00:00 AM","3400 HARDING BLVD","Baton Rouge","LA","VETERANS MEMORIAL","2","4B-2","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.521392558366","-91.1602147406422","POINT (-91.1602207 30.5213981)"
"23-111052","2023 Nov 04 01:00:00 AM","8200 TOM DR","Baton Rouge","LA","NORTH AIRWAY","6","3B-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.468148961923","-91.099008362131","POINT (-91.0990143 30.4681545)"
"23-111119","2023 Nov 04 01:00:00 AM","LA 30 HWY","Baton Rouge","LA","LEE","12","2C-3","State highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Not applicable","30.3882958862833","-91.1718119771242","POINT (-91.1718179 30.3883014)"
"23-110787","2023 Nov 04 01:00:00 AM","3300 HIGHLAND RD","Baton Rouge","LA","E STATE","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.418243288796","-91.1766057506402","POINT (-91.1766117 30.4182488)"
"23-111047","2023 Nov 04 01:00:00 AM","2838 HIGHLAND RD","Baton Rouge","LA","W ROOSEVELT","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","In parking lane or zone","Backing - rear to side","Violations","Movement prior to crash","30.4221753364129","-91.1785449432862","POINT (-91.1785509 30.4221808)"
"23-111104","2023 Nov 04 01:00:00 AM","4841 PERKINS RD","Baton Rouge","LA","ROUZAN","12","2B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","3","Straight","On roadway","Backing - rear to front","Violations","Not applicable","30.4140823075197","-91.1376425138088","POINT (-91.1376484 30.4140878)"
"23-110514","2023 Nov 03 01:00:00 AM","16092 EAST I-10 HWY","Baton Rouge","LA","ESSEN","11","2B-3","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","false","3","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4118890938454","-91.1072225179434","POINT (-91.1072284 30.4118946)"
"23-110671","2023 Nov 03 01:00:00 AM","15832 INTERSTATE 10 ST","Baton Rouge","LA","ACADIAN","7","2B-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4236712862747","-91.1472192896222","POINT (-91.1472252 30.4236768)"
"23-110670","2023 Nov 03 01:00:00 AM","15835 I-10","Baton Rouge","LA","ACADIAN","7","2B-1","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","0","0","0","0","0","false","3","Straight","On roadway","Front to rear - rear end","Violations","Driver condition","30.4237133467003","-91.145504053075","POINT (-91.14551 30.4237188)"
"23-110398","2023 Nov 03 01:00:00 AM","400 GOVERNMENT ST","Baton Rouge","LA","ST. FERDINAND","10","5A-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4433570832968","-91.1865164889264","POINT (-91.1865224 30.4433626)"
"23-110525","2023 Nov 03 01:00:00 AM","700 BEN HUR RD","Baton Rouge","LA","LK XING","12","2C-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.3865856133844","-91.1624363467561","POINT (-91.1624423 30.3865911)"
"23-110689","2023 Nov 03 01:00:00 AM","16700 FLORIDA BLVD","Baton Rouge","LA","N. STEVENDALE","8","3F-2","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left into flow","Movement prior to crash","Movement prior to crash","30.4321134307576","-91.0471730769387","POINT (-91.047179 30.4321189)"
"23-110674","2023 Nov 03 01:00:00 AM","15771 INTERSTATE 10 HWY","Baton Rouge","LA","S ACADIAN","7","2B-1","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.4245987641443","-91.1499873762607","POINT (-91.1499933 30.4246042)"
"23-110636","2023 Nov 03 01:00:00 AM","1700 O'NEAL LN","Baton Rouge","LA","I-12","8","3F-1","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Movement prior to crash","Violations","30.4420734421611","-91.0076083819159","POINT (-91.0076143 30.4420789)"
"23-110652","2023 Nov 03 01:00:00 AM","1400 SHARP LN","Baton Rouge","LA","RED OAK","6","3B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Front to front - head on","Movement prior to crash","Violations","30.462701114591","-91.0720640538156","POINT (-91.07207 30.4627066)"
"23-110509","2023 Nov 03 01:00:00 AM","2100 SPANISH TOWN RD","Baton Rouge","LA","SCENIC","10","1B-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.455239020284","-91.1673182333856","POINT (-91.1673242 30.4552445)"
"23-110609","2023 Nov 03 01:00:00 AM","4800 NORTH ST","Baton Rouge","LA","N 48TH","7","1C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","3","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.4538918308851","-91.1413185373518","POINT (-91.1413245 30.4538973)"
"23-110540","2023 Nov 03 01:00:00 AM","5000 CHOCTAW DR","Baton Rouge","LA","N. FOSTER","7","1C-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","4","Straight","On roadway","Angle - perpendicular/other angle","Movement prior to crash","Violations","30.4706007113247","-91.1401512705822","POINT (-91.1401572 30.4706062)"
"23-110686","2023 Nov 03 01:00:00 AM","3100 COLLEGE DR","Baton Rouge","LA","PARKING LOT","7","2B-2","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","Unknown","Angle - perpendicular/other angle","Violations","Not applicable","30.4193067187013","-91.1406261352481","POINT (-91.1406321 30.4193122)"
"23-110578","2023 Nov 03 01:00:00 AM","8646 GOODWOOD BLVD","Baton Rouge","LA","TARA","11","3G-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","In parking lane or zone","Backing - rear to rear","Violations","Movement prior to crash","30.4426553632253","-91.0951643542046","POINT (-91.0951703 30.4426608)"
"23-110554","2023 Nov 03 01:00:00 AM","I-10 HWY","Baton Rouge","LA","NICHOLSON","10","1A-1","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4390270455796","-91.1904296084816","POINT (-91.1904355 30.4390325)"
"23-110649","2023 Nov 03 01:00:00 AM","6000 S SHERWOOD FOREST BLVD","Baton Rouge","LA","AIRLINE","11","3F-3","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.3995131076658","-91.0535861739204","POINT (-91.0535921 30.3995186)"
"23-110681","2023 Nov 03 01:00:00 AM","2001 O'NEAL LN","Baton Rouge","LA","MEDICAL CENTER","9","3F-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4373630609322","-91.0074428364117","POINT (-91.0074487 30.4373685)"
"23-110605","2023 Nov 03 01:00:00 AM","390 W LEE DR","Baton Rouge","LA","BURBANK","12","2C-3","City street","ONE-WAY ROAD","Unknown",,"Unknown","Unknown","1","0","1","0","0","false","2","Straight","On roadway","Angle - left into flow","Violations","Violations","30.3916724549343","-91.16202788725","POINT (-91.1620338 30.3916779)"
"23-110719","2023 Nov 03 01:00:00 AM","11800 LA 19","Baton Rouge","LA","SPARTA","2","4B-3","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dawn/dusk","0","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.5563176113132","-91.1742399673668","POINT (-91.1742459 30.5563231)"
"23-110601","2023 Nov 03 01:00:00 AM","5677 N FLORIDA SERVICE RD","Baton Rouge","LA","CLOUD","6","1C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Backing - rear to front","Violations","Not applicable","30.4513761637908","-91.1317913312916","POINT (-91.1317973 30.4513817)"
"23-110555","2023 Nov 03 01:00:00 AM","9200 AIRLINE HWY","Baton Rouge","LA","GOODWOOD","6","3C-2","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4404502030894","-91.0868838437664","POINT (-91.0868898 30.4404557)"
"23-110573","2023 Nov 03 01:00:00 AM","650 ARLINGTON BLVD","Baton Rouge","LA","WEST LEE","12","2C-3","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","Off roadway, location unknown","Angle - perpendicular/other angle","Movement prior to crash","Movement prior to crash","30.3902653686877","-91.16298922851","POINT (-91.1629952 30.3902708)"
"23-110583","2023 Nov 03 01:00:00 AM","2000 S SHERWOOD FOREST BLVD","Baton Rouge","LA","MURIAL","6","3E-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4340871726563","-91.0574821672868","POINT (-91.0574881 30.4340927)"
"23-110660","2023 Nov 03 01:00:00 AM","CEDARCREST AVE","Baton Rouge","LA","AIRLINE","11","3C-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - left across flow","Violations","Not applicable","30.4139994705474","-91.0675470819798","POINT (-91.067553 30.414005)"
"23-110682","2023 Nov 03 01:00:00 AM","5100 HIGHLAND RD","Baton Rouge","LA","LEE","12","2C-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","3","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.3946051901971","-91.1606924082048","POINT (-91.1606983 30.3946107)"
"23-110621","2023 Nov 03 01:00:00 AM","1 W I-12","Baton Rouge","LA","INTERSTATE 10","11","2B-3","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","0","0","false","1","Straight","Outside road/right-of-way","Not a collision between two motor vehicles in transport","Movement prior to crash","Movement prior to crash","30.4192989183661","-91.1166807310328","POINT (-91.1166866 30.4193044)"
"23-110647","2023 Nov 03 01:00:00 AM","1300 O'NEAL LN","Baton Rouge","LA","COMMERCIAL","9","3F-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Violations","30.4461309269891","-91.0075654665733","POINT (-91.0075714 30.4461364)"
"23-110685","2023 Nov 03 01:00:00 AM","2100 MAIN  ST","Baton Rouge","LA","N 22ND","7","1C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Movement prior to crash","Violations","30.4535317404706","-91.1526118916763","POINT (-91.1526178 30.4535372)"
"23-110611","2023 Nov 03 01:00:00 AM","9800 US 61 HWY","Baton Rouge","LA","GWENADELE","11","3G-4","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Movement prior to crash","Violations","30.4278408769205","-91.0780565721901","POINT (-91.0780625 30.4278464)"
